,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3042.080795754,734.175818419414,4044.730651557184,3042.080795754,3042.080795754,-640.0495531881293,-640.0495531881293,-640.0495531881293,470.08220667408,470.08220667408,470.08220667408,16.62191150555249,16.62191150555249,16.62191150555249,-1126.7536713677616,-1126.7536713677616,-1126.7536713677616,0.0,0.0,0.0,2402.031242565871
1,2018-01-02,3042.8261607800723,839.0792061721744,3924.0625119104943,3042.8261607800723,3042.8261607800723,-650.197238890247,-650.197238890247,-650.197238890247,470.08220667408,470.08220667408,470.08220667408,-11.280458382770293,-11.280458382770293,-11.280458382770293,-1108.9989871815565,-1108.9989871815565,-1108.9989871815565,0.0,0.0,0.0,2392.6289218898255
2,2018-01-03,3043.5715258061446,872.40968756901,3974.8003181618756,3043.5715258061446,3043.5715258061446,-624.3843639866225,-624.3843639866225,-624.3843639866225,470.08220667408,470.08220667408,470.08220667408,-4.407975834463853,-4.407975834463853,-4.407975834463853,-1090.0585948262387,-1090.0585948262387,-1090.0585948262387,0.0,0.0,0.0,2419.187161819522
3,2018-01-04,3044.3168908322173,1007.4518216997033,3963.548175924714,3044.3168908322173,3044.3168908322173,-577.4460714974956,-577.4460714974956,-577.4460714974956,470.08220667408,470.08220667408,470.08220667408,22.480428330376544,22.480428330376544,22.480428330376544,-1070.0087065019522,-1070.0087065019522,-1070.0087065019522,0.0,0.0,0.0,2466.8708193347215
4,2018-01-05,3045.062255858289,753.0265783433646,4001.4510764635384,3045.062255858289,3045.062255858289,-613.4748460547273,-613.4748460547273,-613.4748460547273,470.08220667408,470.08220667408,470.08220667408,-34.57877763975756,-34.57877763975756,-34.57877763975756,-1048.97827508905,-1048.97827508905,-1048.97827508905,0.0,0.0,0.0,2431.587409803562
5,2018-01-06,3045.8076208843618,919.9054670032825,4056.4480279649965,3045.8076208843618,3045.8076208843618,-571.0831043747949,-571.0831043747949,-571.0831043747949,470.08220667408,470.08220667408,470.08220667408,-14.020271530637599,-14.020271530637599,-14.020271530637599,-1027.1450395182376,-1027.1450395182376,-1027.1450395182376,0.0,0.0,0.0,2474.724516509567
6,2018-01-07,3046.552985910434,916.503665078379,4054.141113823047,3046.552985910434,3046.552985910434,-509.46248485934314,-509.46248485934314,-509.46248485934314,470.08220667408,470.08220667408,470.08220667408,25.185143551484828,25.185143551484828,25.185143551484828,-1004.7298350849078,-1004.7298350849078,-1004.7298350849078,0.0,0.0,0.0,2537.090501051091
7,2018-01-08,3047.2983509365063,1065.6428174991177,4026.938443745447,3047.2983509365063,3047.2983509365063,-495.2852529227339,-495.2852529227339,-495.2852529227339,470.08220667408,470.08220667408,470.08220667408,16.62191150552405,16.62191150552405,16.62191150552405,-981.9893711023379,-981.9893711023379,-981.9893711023379,0.0,0.0,0.0,2552.0130980137724
8,2018-01-09,3048.0437159625785,984.8411000329546,4139.759754945954,3048.0437159625785,3048.0437159625785,-500.4059799342631,-500.4059799342631,-500.4059799342631,470.08220667408,470.08220667408,470.08220667408,-11.280458382764003,-11.280458382764003,-11.280458382764003,-959.207728225579,-959.207728225579,-959.207728225579,0.0,0.0,0.0,2547.6377360283154
9,2018-01-10,3048.789080988651,1024.574846550332,4108.939218918181,3048.789080988651,3048.789080988651,-471.01263857262245,-471.01263857262245,-471.01263857262245,470.08220667408,470.08220667408,470.08220667408,-4.40797583444691,-4.40797583444691,-4.40797583444691,-936.6868694122555,-936.6868694122555,-936.6868694122555,0.0,0.0,0.0,2577.7764424160287
10,2018-01-11,3049.534446014723,1007.678039429036,4115.532780407646,3049.534446014723,3049.534446014723,-422.17385547196506,-422.17385547196506,-422.17385547196506,470.08220667408,470.08220667408,470.08220667408,22.480428330360343,22.480428330360343,22.480428330360343,-914.7364904764052,-914.7364904764052,-914.7364904764052,0.0,0.0,0.0,2627.360590542758
11,2018-01-12,3050.2798110407957,995.6395538846652,4144.631587279094,3050.2798110407957,3050.2798110407957,-458.16012851711037,-458.16012851711037,-458.16012851711037,470.08220667408,470.08220667408,470.08220667408,-34.578777639800634,-34.578777639800634,-34.578777639800634,-893.6635575513895,-893.6635575513895,-893.6635575513895,0.0,0.0,0.0,2592.1196825236852
12,2018-01-13,3051.025176066868,983.0961298471481,4219.195426803138,3051.025176066868,3051.025176066868,-417.69995366277846,-417.69995366277846,-417.69995366277846,470.08220667408,470.08220667408,470.08220667408,-14.020271530655764,-14.020271530655764,-14.020271530655764,-873.7618888062024,-873.7618888062024,-873.7618888062024,0.0,0.0,0.0,2633.3252224040893
13,2018-01-14,3051.77054109294,1097.9826222047723,4333.273822294891,3051.77054109294,3051.77054109294,-360.0347859351657,-360.0347859351657,-360.0347859351657,470.08220667408,470.08220667408,470.08220667408,25.185143551521566,25.185143551521566,25.185143551521566,-855.3021361607672,-855.3021361607672,-855.3021361607672,0.0,0.0,0.0,2691.7357551577743
14,2018-01-15,3052.515906119013,1149.2623725347134,4308.898381816167,3052.515906119013,3052.515906119013,-351.81839136827693,-351.81839136827693,-351.81839136827693,470.08220667408,470.08220667408,470.08220667408,16.621911505545118,16.621911505545118,16.621911505545118,-838.522509547902,-838.522509547902,-838.522509547902,0.0,0.0,0.0,2700.697514750736
15,2018-01-16,3053.2612711450847,1151.3747636695175,4221.6730870080455,3053.2612711450847,3053.2612711450847,-364.818813607346,-364.818813607346,-364.818813607346,470.08220667408,470.08220667408,470.08220667408,-11.280458382683538,-11.280458382683538,-11.280458382683538,-823.6205618987424,-823.6205618987424,-823.6205618987424,0.0,0.0,0.0,2688.442457537739
16,2018-01-17,3054.0066361711574,1098.109122155077,4330.984222287699,3054.0066361711574,3054.0066361711574,-345.0720874120831,-345.0720874120831,-345.0720874120831,470.08220667408,470.08220667408,470.08220667408,-4.407975834429968,-4.407975834429968,-4.407975834429968,-810.7463182517331,-810.7463182517331,-810.7463182517331,0.0,0.0,0.0,2708.9345487590745
17,2018-01-18,3054.752001197229,1049.9576481255476,4298.487962206913,3054.752001197229,3054.752001197229,-307.4343532869157,-307.4343532869157,-307.4343532869157,470.08220667408,470.08220667408,470.08220667408,22.480428330386744,22.480428330386744,22.480428330386744,-799.9969882913822,-799.9969882913822,-799.9969882913822,0.0,0.0,0.0,2747.3176479103136
18,2018-01-19,3055.497366223302,1053.7611745941524,4364.079124788997,3055.497366223302,3055.497366223302,-355.9100205859417,-355.9100205859417,-355.9100205859417,470.08220667408,470.08220667408,470.08220667408,-34.5787776397282,-34.5787776397282,-34.5787776397282,-791.4134496202936,-791.4134496202936,-791.4134496202936,0.0,0.0,0.0,2699.58734563736
19,2018-01-20,3056.2427312493746,1112.0672183394095,4329.2600172161065,3056.2427312493746,3056.2427312493746,-328.9166956460644,-328.9166956460644,-328.9166956460644,470.08220667408,470.08220667408,470.08220667408,-14.020271530684376,-14.020271530684376,-14.020271530684376,-784.97863078946,-784.97863078946,-784.97863078946,0.0,0.0,0.0,2727.32603560331
20,2018-01-21,3056.9880962754464,1153.1614134631986,4429.891344686081,3056.9880962754464,3056.9880962754464,-285.35051019840984,-285.35051019840984,-285.35051019840984,470.08220667408,470.08220667408,470.08220667408,25.185143551558305,25.185143551558305,25.185143551558305,-780.6178604240481,-780.6178604240481,-780.6178604240481,0.0,0.0,0.0,2771.6375860770368
21,2018-01-22,3057.733461301519,1174.015115791661,4224.374854906014,3057.733461301519,3057.733461301519,-291.49706548598635,-291.49706548598635,-291.49706548598635,470.08220667408,470.08220667408,470.08220667408,16.621911505499067,16.621911505499067,16.621911505499067,-778.2011836655653,-778.2011836655653,-778.2011836655653,0.0,0.0,0.0,2766.236395815533
22,2018-01-23,3058.4788263275914,1141.1768697799473,4368.728373758102,3058.4788263275914,3058.4788263275914,-318.7458334059001,-318.7458334059001,-318.7458334059001,470.08220667408,470.08220667408,470.08220667408,-11.280458382715556,-11.280458382715556,-11.280458382715556,-777.5475816972645,-777.5475816972645,-777.5475816972645,0.0,0.0,0.0,2739.732992921691
23,2018-01-24,3059.2241913536636,1177.6087974689485,4390.373800310402,3059.2241913536636,3059.2241913536636,-312.75673558335205,-312.75673558335205,-312.75673558335205,470.08220667408,470.08220667408,470.08220667408,-4.407975834446914,-4.407975834446914,-4.407975834446914,-778.430966422985,-778.430966422985,-778.430966422985,0.0,0.0,0.0,2746.4674557703115
24,2018-01-25,3059.969556379736,1205.25621933347,4284.085829214636,3059.969556379736,3059.969556379736,-288.02512747420946,-288.02512747420946,-288.02512747420946,470.08220667408,470.08220667408,470.08220667408,22.480428330370536,22.480428330370536,22.480428330370536,-780.5877624786598,-780.5877624786598,-780.5877624786598,0.0,0.0,0.0,2771.9444289055264
25,2018-01-26,3060.714921405808,1255.3850229062218,4266.379463915127,3060.714921405808,3060.714921405808,-348.2224055828675,-348.2224055828675,-348.2224055828675,470.08220667408,470.08220667408,470.08220667408,-34.57877763970472,-34.57877763970472,-34.57877763970472,-783.7258346172426,-783.7258346172426,-783.7258346172426,0.0,0.0,0.0,2712.4925158229407
26,2018-01-27,3061.460286431881,1055.2057017102395,4268.997348743332,3061.460286431881,3061.460286431881,-331.47253674130565,-331.47253674130565,-331.47253674130565,470.08220667408,470.08220667408,470.08220667408,-14.020271530613986,-14.020271530613986,-14.020271530613986,-787.5344718847716,-787.5344718847716,-787.5344718847716,0.0,0.0,0.0,2729.987749690575
27,2018-01-28,3062.205651457953,1286.0847347686745,4444.716057890072,3062.205651457953,3062.205651457953,-296.42775221713816,-296.42775221713816,-296.42775221713816,470.08220667408,470.08220667408,470.08220667408,25.185143551595033,25.185143551595033,25.185143551595033,-791.6951024428131,-791.6951024428131,-791.6951024428131,0.0,0.0,0.0,2765.777899240815
28,2018-01-29,3062.9510164840253,1173.3036494874002,4369.989050750742,3062.9510164840253,3062.9510164840253,-309.1882674694802,-309.1882674694802,-309.1882674694802,470.08220667408,470.08220667408,470.08220667408,16.621911505604878,16.621911505604878,16.621911505604878,-795.892385649165,-795.892385649165,-795.892385649165,0.0,0.0,0.0,2753.762749014545
29,2018-01-30,3063.6963815100976,1121.232811268076,4317.771252934669,3063.6963815100976,3063.6963815100976,-341.02356374038874,-341.02356374038874,-341.02356374038874,470.08220667408,470.08220667408,470.08220667408,-11.280458382709265,-11.280458382709265,-11.280458382709265,-799.8253120317596,-799.8253120317596,-799.8253120317596,0.0,0.0,0.0,2722.6728177697087
30,2018-01-31,3064.4417465361703,1152.216921517805,4224.805507829668,3064.4417465361703,3064.4417465361703,-337.54370684026946,-337.54370684026946,-337.54370684026946,470.08220667408,470.08220667408,470.08220667408,-4.407975834464182,-4.407975834464182,-4.407975834464182,-803.2179376798853,-803.2179376798853,-803.2179376798853,0.0,0.0,0.0,2726.898039695901
31,2018-02-01,3065.187111562242,1193.883271391038,4387.09576144496,3065.187111562242,3065.187111562242,-313.2667525369088,-313.2667525369088,-313.2667525369088,470.08220667408,470.08220667408,470.08220667408,22.48042833035433,22.48042833035433,22.48042833035433,-805.829387541343,-805.829387541343,-805.829387541343,0.0,0.0,0.0,2751.9203590253333
32,2018-02-02,3065.932476588315,1184.995565620426,4393.176914079445,3065.932476588315,3065.932476588315,-371.95935299131395,-371.95935299131395,-371.95935299131395,470.08220667408,470.08220667408,470.08220667408,-34.57877763969884,-34.57877763969884,-34.57877763969884,-807.4627820256949,-807.4627820256949,-807.4627820256949,0.0,0.0,0.0,2693.9731235970007
33,2018-02-03,3066.6778416143866,1134.8858983227287,4445.713704095749,3066.6778416143866,3066.6778416143866,-351.9108374712243,-351.9108374712243,-351.9108374712243,470.08220667408,470.08220667408,470.08220667408,-14.020271530632147,-14.020271530632147,-14.020271530632147,-807.9727726146721,-807.9727726146721,-807.9727726146721,0.0,0.0,0.0,2714.7670041431625
